id,title,body,notification_priority
34,नेपाल प्रविधिको नयाँ प्रयोग,क्रिकेट मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,1
35,ओलम्पिक नेटवर्कको सुरुवात,नेपाल ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,1
36,एआई नेटवर्कको सुरुवात,एआई को सुरुवातले भविष्यमा गति थप्नेछ।,1
37,एआई फाइनल खेलको तयारी,एआई प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
38,एआई प्रविधिको नयाँ प्रयोग,क्रिकेट ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
39,एआई प्रविधिको नयाँ प्रयोग,भारत ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
40,फाइभजी मा नेपालको ऐतिहासिक जीत,एआई खेलले दर्शकको ध्यान तानेको छ।,0
41,क्रिकेट प्रविधिको नयाँ प्रयोग,चीन मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,0
42,क्रिकेट प्रविधिको नयाँ प्रयोग,फाइभजी मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,1
43,भारत सम्बन्धमा नयाँ मस्यौदा,एआई को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
44,नेपाल मा नेपालको ऐतिहासिक जीत,ओलम्पिक प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
45,नेपाल खेलाडीले स्वर्ण जिते,क्रिकेट खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,0
46,चीन सम्बन्धमा नयाँ मस्यौदा,नेपाल को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
47,नेपाल मा नेपालको ऐतिहासिक जीत,क्रिकेट प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,1
48,ओलम्पिक खेलाडीले स्वर्ण जिते,क्रिकेट खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,0
49,ओलम्पिक खेलाडीले स्वर्ण जिते,भारत प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
50,एआई संसद् बैठक स्थगित,भारत को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
51,एआई नेटवर्कको सुरुवात,एआई मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,1
52,क्रिकेट प्रविधिको नयाँ प्रयोग,फाइभजी मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,0
53,एआई खेलाडीले स्वर्ण जिते,नेपाल प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
54,चीन ले नयाँ उपकरण सार्वजनिक गर्‍यो,ओलम्पिक ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,1
55,एआई नेटवर्कको सुरुवात,क्रिकेट को सुरुवातले भविष्यमा गति थप्नेछ।,1
56,क्रिकेट ले नयाँ उपकरण सार्वजनिक गर्‍यो,ओलम्पिक मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,0
57,नेपाल नेटवर्कको सुरुवात,क्रिकेट को सुरुवातले भविष्यमा गति थप्नेछ।,0
58,भारत सम्बन्धमा नयाँ मस्यौदा,ओलम्पिक को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
59,एआई नेटवर्कको सुरुवात,भारत ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
60,फाइभजी संसद् बैठक स्थगित,फाइभजी को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
61,एआई सम्बन्धमा नयाँ मस्यौदा,फाइभजी को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,1
62,क्रिकेट प्रविधिको नयाँ प्रयोग,चीन ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,1
63,ओलम्पिक मा प्रधानमन्त्रीको नयाँ कदम,फाइभजी सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
64,क्रिकेट नेटवर्कको सुरुवात,भारत ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
65,फाइभजी फाइनल खेलको तयारी,क्रिकेट प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
66,एआई मा नेपालको ऐतिहासिक जीत,एआई खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,0
67,चीन नेटवर्कको सुरुवात,चीन को सुरुवातले भविष्यमा गति थप्नेछ।,0
68,क्रिकेट सम्बन्धमा नयाँ मस्यौदा,एआई को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,1
69,भारत नेटवर्कको सुरुवात,फाइभजी को सुरुवातले भविष्यमा गति थप्नेछ।,0
70,भारत सम्बन्धमा नयाँ मस्यौदा,एआई को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
71,चीन मा नेपालको ऐतिहासिक जीत,चीन खेलले दर्शकको ध्यान तानेको छ।,0
72,ओलम्पिक सम्बन्धमा नयाँ मस्यौदा,भारत को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
73,ओलम्पिक खेलाडीले स्वर्ण जिते,ओलम्पिक खेलले दर्शकको ध्यान तानेको छ।,1
74,चीन सम्बन्धमा नयाँ मस्यौदा,भारत को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
75,क्रिकेट मा प्रधानमन्त्रीको नयाँ कदम,ओलम्पिक को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
76,चीन संसद् बैठक स्थगित,एआई को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
77,ओलम्पिक सम्बन्धमा नयाँ मस्यौदा,ओलम्पिक को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,1
78,भारत प्रविधिको नयाँ प्रयोग,नेपाल मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,0
79,भारत सम्बन्धमा नयाँ मस्यौदा,क्रिकेट को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
80,नेपाल ले नयाँ उपकरण सार्वजनिक गर्‍यो,भारत ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
81,ओलम्पिक फाइनल खेलको तयारी,नेपाल खेलले दर्शकको ध्यान तानेको छ।,1
82,फाइभजी मा नेपालको ऐतिहासिक जीत,ओलम्पिक खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,0
83,चीन संसद् बैठक स्थगित,भारत सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
84,नेपाल मा प्रधानमन्त्रीको नयाँ कदम,भारत को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
85,नेपाल ले नयाँ उपकरण सार्वजनिक गर्‍यो,एआई ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,1
86,ओलम्पिक ले नयाँ उपकरण सार्वजनिक गर्‍यो,भारत मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,1
87,ओलम्पिक मा प्रधानमन्त्रीको नयाँ कदम,फाइभजी को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
88,चीन प्रविधिको नयाँ प्रयोग,नेपाल ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,1
89,एआई सम्बन्धमा नयाँ मस्यौदा,एआई को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
90,भारत मा प्रधानमन्त्रीको नयाँ कदम,क्रिकेट सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
91,क्रिकेट नेटवर्कको सुरुवात,क्रिकेट को सुरुवातले भविष्यमा गति थप्नेछ।,0
92,चीन ले नयाँ उपकरण सार्वजनिक गर्‍यो,क्रिकेट ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
93,फाइभजी नेटवर्कको सुरुवात,नेपाल ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,1
94,भारत सम्बन्धमा नयाँ मस्यौदा,एआई को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
95,भारत ले नयाँ उपकरण सार्वजनिक गर्‍यो,भारत ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
96,फाइभजी संसद् बैठक स्थगित,क्रिकेट सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,1
97,एआई सम्बन्धमा नयाँ मस्यौदा,फाइभजी को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
98,ओलम्पिक संसद् बैठक स्थगित,क्रिकेट को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
99,भारत मा प्रधानमन्त्रीको नयाँ कदम,फाइभजी को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
100,ओलम्पिक मा नेपालको ऐतिहासिक जीत,नेपाल खेलले दर्शकको ध्यान तानेको छ।,1
101,फाइभजी संसद् बैठक स्थगित,नेपाल सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,1
102,फाइभजी ले नयाँ उपकरण सार्वजनिक गर्‍यो,चीन मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,1
103,भारत मा नेपालको ऐतिहासिक जीत,नेपाल खेलले दर्शकको ध्यान तानेको छ।,0
104,नेपाल संसद् बैठक स्थगित,भारत सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,1
105,क्रिकेट सम्बन्धमा नयाँ मस्यौदा,क्रिकेट सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
106,एआई मा नेपालको ऐतिहासिक जीत,भारत खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,0
107,फाइभजी खेलाडीले स्वर्ण जिते,फाइभजी प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
108,ओलम्पिक प्रविधिको नयाँ प्रयोग,फाइभजी को सुरुवातले भविष्यमा गति थप्नेछ।,0
109,ओलम्पिक संसद् बैठक स्थगित,फाइभजी सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
110,नेपाल मा नेपालको ऐतिहासिक जीत,भारत खेलले दर्शकको ध्यान तानेको छ।,0
111,क्रिकेट फाइनल खेलको तयारी,भारत खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,1
112,फाइभजी नेटवर्कको सुरुवात,नेपाल ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
113,एआई फाइनल खेलको तयारी,चीन प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,1
114,एआई फाइनल खेलको तयारी,क्रिकेट खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,1
115,एआई फाइनल खेलको तयारी,भारत खेलले दर्शकको ध्यान तानेको छ।,1
116,चीन ले नयाँ उपकरण सार्वजनिक गर्‍यो,एआई को सुरुवातले भविष्यमा गति थप्नेछ।,1
117,एआई मा प्रधानमन्त्रीको नयाँ कदम,चीन को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
118,क्रिकेट फाइनल खेलको तयारी,भारत खेलले दर्शकको ध्यान तानेको छ।,0
119,भारत प्रविधिको नयाँ प्रयोग,क्रिकेट ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
120,फाइभजी सम्बन्धमा नयाँ मस्यौदा,फाइभजी को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
121,क्रिकेट नेटवर्कको सुरुवात,भारत को सुरुवातले भविष्यमा गति थप्नेछ।,1
122,ओलम्पिक नेटवर्कको सुरुवात,ओलम्पिक ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,1
123,क्रिकेट मा प्रधानमन्त्रीको नयाँ कदम,भारत को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,1
124,भारत संसद् बैठक स्थगित,क्रिकेट को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
125,नेपाल मा नेपालको ऐतिहासिक जीत,नेपाल खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,0
126,ओलम्पिक नेटवर्कको सुरुवात,एआई मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,0
127,फाइभजी सम्बन्धमा नयाँ मस्यौदा,ओलम्पिक को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,1
128,भारत नेटवर्कको सुरुवात,ओलम्पिक ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
129,चीन फाइनल खेलको तयारी,चीन खेलले दर्शकको ध्यान तानेको छ।,1
130,चीन फाइनल खेलको तयारी,भारत खेलले दर्शकको ध्यान तानेको छ।,0
131,भारत प्रविधिको नयाँ प्रयोग,भारत मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,0
132,फाइभजी ले नयाँ उपकरण सार्वजनिक गर्‍यो,ओलम्पिक ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
133,एआई मा प्रधानमन्त्रीको नयाँ कदम,फाइभजी को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
134,फाइभजी प्रविधिको नयाँ प्रयोग,एआई मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,1
135,एआई संसद् बैठक स्थगित,ओलम्पिक को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
136,चीन फाइनल खेलको तयारी,एआई खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,1
137,भारत खेलाडीले स्वर्ण जिते,चीन खेलले दर्शकको ध्यान तानेको छ।,0
138,नेपाल सम्बन्धमा नयाँ मस्यौदा,क्रिकेट सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
139,एआई मा प्रधानमन्त्रीको नयाँ कदम,भारत को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
140,भारत नेटवर्कको सुरुवात,ओलम्पिक ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
141,फाइभजी संसद् बैठक स्थगित,भारत को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,1
142,फाइभजी ले नयाँ उपकरण सार्वजनिक गर्‍यो,नेपाल ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
143,ओलम्पिक नेटवर्कको सुरुवात,फाइभजी ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
144,नेपाल नेटवर्कको सुरुवात,नेपाल को सुरुवातले भविष्यमा गति थप्नेछ।,1
145,चीन सम्बन्धमा नयाँ मस्यौदा,फाइभजी सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
146,क्रिकेट प्रविधिको नयाँ प्रयोग,फाइभजी ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
147,एआई फाइनल खेलको तयारी,चीन प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
148,नेपाल मा प्रधानमन्त्रीको नयाँ कदम,चीन को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
149,चीन ले नयाँ उपकरण सार्वजनिक गर्‍यो,नेपाल ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
150,फाइभजी मा प्रधानमन्त्रीको नयाँ कदम,भारत को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
151,भारत नेटवर्कको सुरुवात,एआई ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
152,एआई संसद् बैठक स्थगित,नेपाल को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
153,क्रिकेट मा प्रधानमन्त्रीको नयाँ कदम,एआई को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
154,क्रिकेट खेलाडीले स्वर्ण जिते,एआई खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,1
155,फाइभजी खेलाडीले स्वर्ण जिते,भारत खेलले दर्शकको ध्यान तानेको छ।,0
156,एआई मा प्रधानमन्त्रीको नयाँ कदम,क्रिकेट को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
157,एआई मा नेपालको ऐतिहासिक जीत,क्रिकेट प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
158,एआई संसद् बैठक स्थगित,भारत को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
159,ओलम्पिक संसद् बैठक स्थगित,एआई सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
160,नेपाल मा नेपालको ऐतिहासिक जीत,क्रिकेट खेलले दर्शकको ध्यान तानेको छ।,0
161,ओलम्पिक ले नयाँ उपकरण सार्वजनिक गर्‍यो,भारत को सुरुवातले भविष्यमा गति थप्नेछ।,0
162,भारत मा प्रधानमन्त्रीको नयाँ कदम,क्रिकेट सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,1
163,नेपाल संसद् बैठक स्थगित,फाइभजी को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
164,एआई खेलाडीले स्वर्ण जिते,एआई खेलले दर्शकको ध्यान तानेको छ।,0
165,फाइभजी फाइनल खेलको तयारी,भारत प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,1
166,एआई ले नयाँ उपकरण सार्वजनिक गर्‍यो,एआई ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
167,फाइभजी मा नेपालको ऐतिहासिक जीत,फाइभजी प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
168,क्रिकेट ले नयाँ उपकरण सार्वजनिक गर्‍यो,क्रिकेट ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
169,ओलम्पिक फाइनल खेलको तयारी,क्रिकेट प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
170,भारत मा नेपालको ऐतिहासिक जीत,फाइभजी खेलले दर्शकको ध्यान तानेको छ।,1
171,क्रिकेट खेलाडीले स्वर्ण जिते,क्रिकेट खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,0
172,नेपाल संसद् बैठक स्थगित,नेपाल सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
173,भारत मा प्रधानमन्त्रीको नयाँ कदम,फाइभजी को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,1
174,चीन ले नयाँ उपकरण सार्वजनिक गर्‍यो,ओलम्पिक मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,0
175,क्रिकेट फाइनल खेलको तयारी,क्रिकेट प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
176,ओलम्पिक नेटवर्कको सुरुवात,चीन को सुरुवातले भविष्यमा गति थप्नेछ।,1
177,ओलम्पिक सम्बन्धमा नयाँ मस्यौदा,फाइभजी को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
178,फाइभजी मा प्रधानमन्त्रीको नयाँ कदम,एआई सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
179,नेपाल संसद् बैठक स्थगित,एआई सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,1
180,क्रिकेट फाइनल खेलको तयारी,एआई खेलले दर्शकको ध्यान तानेको छ।,0
181,भारत प्रविधिको नयाँ प्रयोग,नेपाल को सुरुवातले भविष्यमा गति थप्नेछ।,0
182,नेपाल मा नेपालको ऐतिहासिक जीत,नेपाल खेलले दर्शकको ध्यान तानेको छ।,1
183,भारत मा नेपालको ऐतिहासिक जीत,क्रिकेट खेलले दर्शकको ध्यान तानेको छ।,1
184,ओलम्पिक मा प्रधानमन्त्रीको नयाँ कदम,एआई को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
185,ओलम्पिक नेटवर्कको सुरुवात,एआई को सुरुवातले भविष्यमा गति थप्नेछ।,0
186,फाइभजी नेटवर्कको सुरुवात,चीन मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,0
187,ओलम्पिक फाइनल खेलको तयारी,क्रिकेट खेलले दर्शकको ध्यान तानेको छ।,0
188,भारत संसद् बैठक स्थगित,फाइभजी सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,1
189,क्रिकेट फाइनल खेलको तयारी,भारत खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,0
190,चीन ले नयाँ उपकरण सार्वजनिक गर्‍यो,चीन मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,1
191,भारत मा प्रधानमन्त्रीको नयाँ कदम,फाइभजी को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,1
192,क्रिकेट प्रविधिको नयाँ प्रयोग,फाइभजी को सुरुवातले भविष्यमा गति थप्नेछ।,1
193,एआई ले नयाँ उपकरण सार्वजनिक गर्‍यो,भारत ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,1
194,एआई मा नेपालको ऐतिहासिक जीत,ओलम्पिक खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,1
195,फाइभजी फाइनल खेलको तयारी,एआई खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,1
196,फाइभजी फाइनल खेलको तयारी,एआई खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,0
197,क्रिकेट नेटवर्कको सुरुवात,फाइभजी मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,0
198,चीन सम्बन्धमा नयाँ मस्यौदा,ओलम्पिक सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,1
199,चीन सम्बन्धमा नयाँ मस्यौदा,ओलम्पिक को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
200,भारत मा प्रधानमन्त्रीको नयाँ कदम,क्रिकेट को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,1
201,चीन सम्बन्धमा नयाँ मस्यौदा,ओलम्पिक को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
202,क्रिकेट फाइनल खेलको तयारी,भारत प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
203,एआई ले नयाँ उपकरण सार्वजनिक गर्‍यो,क्रिकेट को सुरुवातले भविष्यमा गति थप्नेछ।,0
204,एआई प्रविधिको नयाँ प्रयोग,फाइभजी ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
205,चीन मा प्रधानमन्त्रीको नयाँ कदम,एआई सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
206,नेपाल फाइनल खेलको तयारी,नेपाल खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,1
207,नेपाल फाइनल खेलको तयारी,क्रिकेट प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
208,भारत नेटवर्कको सुरुवात,एआई मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,0
